2021-12-20 18:41:12,287 - INFO - **************common.configs**********
2021-12-20 18:41:12,287 - INFO - use_gpu: True, use_xpu: False, use_visual: False, infer_batch_size: 2000, test_data_dir: data/whole_data/test, start_epoch: 0, end_epoch: 1, print_interval: 50, model_load_path: output_model_all_autodeepfm
2021-12-20 18:41:12,287 - INFO - **************common.configs**********
W1220 18:41:12.289043 17996 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W1220 18:41:12.294060 17996 device_context.cc:465] device: 0, cuDNN Version: 7.6.
2021-12-20 18:41:17,189 - INFO - read data
2021-12-20 18:41:17,189 - INFO - reader path:criteo_reader
2021-12-20 18:41:19,038 - INFO - load model epoch 0
2021-12-20 18:41:19,038 - INFO - start load model from output_model_all_autodeepfm/0
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
2021-12-20 18:44:37,534 - INFO - epoch: 0, batch_id: 3650, auc: 0.803623, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05395 sec, avg_samples: 2000.00000, ips: 37019.97 ins/s
2021-12-20 18:44:40,209 - INFO - epoch: 0, batch_id: 3700, auc: 0.803574, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05341 sec, avg_samples: 2000.00000, ips: 37393.64 ins/s
2021-12-20 18:44:42,938 - INFO - epoch: 0, batch_id: 3750, auc: 0.803503, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05450 sec, avg_samples: 2000.00000, ips: 36644.31 ins/s
2021-12-20 18:44:45,654 - INFO - epoch: 0, batch_id: 3800, auc: 0.803440, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05423 sec, avg_samples: 2000.00000, ips: 36827.89 ins/s
2021-12-20 18:44:48,380 - INFO - epoch: 0, batch_id: 3850, auc: 0.803406, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05445 sec, avg_samples: 2000.00000, ips: 36679.13 ins/s
2021-12-20 18:44:51,076 - INFO - epoch: 0, batch_id: 3900, auc: 0.803355, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05384 sec, avg_samples: 2000.00000, ips: 37094.03 ins/s
2021-12-20 18:44:53,772 - INFO - epoch: 0, batch_id: 3950, auc: 0.803308, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05382 sec, avg_samples: 2000.00000, ips: 37106.63 ins/s
2021-12-20 18:44:56,465 - INFO - epoch: 0, batch_id: 4000, auc: 0.803305, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.05378 sec, avg_samples: 2000.00000, ips: 37136.90 ins/s
2021-12-20 18:44:59,154 - INFO - epoch: 0, batch_id: 4050, auc: 0.803264, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05367 sec, avg_samples: 2000.00000, ips: 37193.07 ins/s
2021-12-20 18:45:01,851 - INFO - epoch: 0, batch_id: 4100, auc: 0.803196, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05387 sec, avg_samples: 2000.00000, ips: 37071.98 ins/s
2021-12-20 18:45:04,559 - INFO - epoch: 0, batch_id: 4150, auc: 0.803163, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05407 sec, avg_samples: 2000.00000, ips: 36938.89 ins/s
